,2 or less,Over 2,Over 3,Over 4,Over 6,Over 8,Over 10,Over 12,Over 14,Over 16,Over 18,Over 20,Over 22,Over 24,Over 26,Over 28,Over 30,Over 32,Over 34,Over 36,Over 38,Over 40
E-1,1680.9,1680.9,1680.9,1680.9,1680.9,1680.9,1680.9,1680.9,1680.9,1680.9,1680.9,1680.9,1680.9,1680.9,1680.9,1680.9,1680.9,1680.9,1680.9,1680.9,1680.9,1680.9
E-2,1884,1884,1884,1884,1884,1884,1884,1884,1884,1884,1884,1884,1884,1884,1884,1884,1884,1884,1884,1884,1884,1884
E-3,1981.2,2105.7,2233.5,2233.5,2233.5,2233.5,2233.5,2233.5,2233.5,2233.5,2233.5,2233.5,2233.5,2233.5,2233.5,2233.5,2233.5,2233.5,2233.5,2233.5,2233.5,2233.5
E-4,2194.5,2307,2431.8,2555.4,2664,2664,2664,2664,2664,2664,2664,2664,2664,2664,2664,2664,2664,2664,2664,2664,2664,2664
E-5,2393.4,2554.8,2678.1,2804.4,3001.5,3207,3376.2,3396.6,3396.6,3396.6,3396.6,3396.6,3396.6,3396.6,3396.6,3396.6,3396.6,3396.6,3396.6,3396.6,3396.6,3396.6
E-6,2612.7,2875.2,3002.1,3125.4,3254.1,3543.3,3656.4,3874.8,3941.4,3990,4046.7,4046.7,4046.7,4046.7,4046.7,4046.7,4046.7,4046.7,4046.7,4046.7,4046.7,4046.7
E-7,3020.7,3296.7,3423.3,3590.1,3720.9,3945,4071.6,4295.7,4482.6,4609.8,4745.4,4797.6,4974.3,5068.8,5429.1,5429.1,5429.1,5429.1,5429.1,5429.1,5429.1,5429.1
E-8, , , , , ,4345.5,4537.5,4656.6,4798.8,4953.6,5232.3,5373.6,5613.9,5747.4,6075.6,6075.6,6197.7,6197.7,6197.7,6197.7,6197.7,6197.7
E-9, , , , , , ,5308.2,5428.5,5580.3,5758.2,5938.8,6226.5,6470.7,6726.6,7119.3,7119.3,7474.8,7474.8,7848.9,7848.9,8241.9,8241.9
W-1,3116.4,3452.1,3542.1,3732.6,3957.9,4290.3,4445.1,4662,4875.3,5043.3,5197.5,5385.3,5385.3,5385.3,5385.3,5385.3,5385.3,5385.3,5385.3,5385.3,5385.3,5385.3
W-2,3550.5,3886.2,3989.7,4060.5,4290.9,4648.8,4826.1,5000.4,5214,5381.1,5532,5713.2,5832,5926.2,5926.2,5926.2,5926.2,5926.2,5926.2,5926.2,5926.2,5926.2
W-3,4012.5,4179.6,4351.2,4407.6,4586.7,4940.4,5308.5,5482.2,5682.9,5889,6261,6511.8,6661.8,6821.1,7038.6,7038.6,7038.6,7038.6,7038.6,7038.6,7038.6,7038.6
W-4,4393.8,4726.2,4861.8,4995.3,5225.1,5452.8,5683.2,6029.1,6333,6621.9,6858.6,7089.3,7428,7706.4,8024.1,8024.1,8184,8184,8184,8184,8184,8184
W-5, , , , , , , , , , , ,7812.6,8208.6,8503.8,8830.5,8830.5,9272.7,9272.7,9735.6,9735.6,10223.4,10223.4
O-1,3188.4,3318.9,4011.9,4011.9,4011.9,4011.9,4011.9,4011.9,4011.9,4011.9,4011.9,4011.9,4011.9,4011.9,4011.9,4011.9,4011.9,4011.9,4011.9,4011.9,4011.9,4011.9
O-2,3673.5,4183.8,4818.3,4981.2,5083.8,5083.8,5083.8,5083.8,5083.8,5083.8,5083.8,5083.8,5083.8,5083.8,5083.8,5083.8,5083.8,5083.8,5083.8,5083.8,5083.8,5083.8
O-3,4251.6,4819.2,5201.4,5671.5,5943.6,6241.5,6434.4,6751.2,6916.8,6916.8,6916.8,6916.8,6916.8,6916.8,6916.8,6916.8,6916.8,6916.8,6916.8,6916.8,6916.8,6916.8
O-4,4835.4,5597.4,5971.2,6054,6400.8,6772.8,7236,7596.3,7846.5,7990.5,8073.9,8073.9,8073.9,8073.9,8073.9,8073.9,8073.9,8073.9,8073.9,8073.9,8073.9,8073.9
O-5,5604.3,6313.5,6750,6832.5,7105.5,7268.4,7627.2,7890.9,8230.8,8751.3,8998.5,9243.6,9521.4,9521.4,9521.4,9521.4,9521.4,9521.4,9521.4,9521.4,9521.4,9521.4
O-6,6722.7,7385.7,7870.5,7870.5,7900.5,8239.2,8283.9,8283.9,8754.3,9586.8,10075.2,10563.3,10841.4,11123.1,11668.2,11668.2,11901.3,11901.3,11901.3,11901.3,11901.3,11901.3
O-7,8865.3,9276.9,9467.7,9619.2,9893.4,10164.6,10477.8,10790.1,11103.6,12088.2,12919.2,12919.2,12919.2,12919.2,12985.5,12985.5,13245.3,13245.3,13245.3,13245.3,13245.3,13245.3
O-8,10668.9,11018.7,11250.6,11315.4,11604.9,12088.2,12200.7,12659.7,12791.7,13187.1,13759.5,14287.2,14639.4,14639.4,14639.4,14639.4,15006,15006,15380.7,15380.7,15380.7,15380.7
O-9, , , , , , , , , , , ,15078.6,15296.4,15610.2,16025.1,16025.1,16025.1,16025.1,16025.1,16025.1,16025.1,16025.1
O-10, , , , , , , , , , , ,16025.1,16025.1,16025.1,16025.1,16025.1,16025.1,16025.1,16025.1,16025.1,16025.1,16025.1
